Regiao - Sigla;Estado - Sigla;Municipio;Revenda;CNPJ da Revenda;Nome da Rua;Numero Rua;Complemento;Bairro;Cep;Produto;Data da Coleta;Valor de Venda;Valor de Compra;Unidade de Medida;Bandeira
NE;PI;TERESINA;POSTO DE COMBUSTIVEL AGUIA LTDA; 28.985.753/0001-12;AVENIDA HOMERO CASTELO BRANCO;2101;LETRA A;FATIMA;64049-505;DIESEL S10;30/03/2026;7,89;;R$ / litro;IPIRANGA
NE;PI;TERESINA;POSTO DE COMBUSTIVEL AGUIA LTDA; 28.985.753/0001-12;AVENIDA HOMERO CASTELO BRANCO;2101;LETRA A;FATIMA;64049-505;ETANOL;30/03/2026;5,09;;R$ / litro;IPIRANGA
NE;PI;TERESINA;JESUS JOSE NOGUEIRA JUNIOR LTDA; 38.635.568/0001-51;AVENIDA SENADOR AREA LEAO;2140;;SAO CRISTOVAO;64051-090;GASOLINA;30/03/2026;6,69;;R$ / litro;VIBRA
NE;PI;TERESINA;JESUS JOSE NOGUEIRA JUNIOR LTDA; 38.635.568/0001-51;AVENIDA SENADOR AREA LEAO;2140;;SAO CRISTOVAO;64051-090;GASOLINA ADITIVADA;30/03/2026;6,99;;R$ / litro;VIBRA
NE;PI;TERESINA;JESUS JOSE NOGUEIRA JUNIOR LTDA; 38.635.568/0001-51;AVENIDA SENADOR AREA LEAO;2140;;SAO CRISTOVAO;64051-090;DIESEL S10;30/03/2026;7,79;;R$ / litro;VIBRA
NE;PI;TERESINA;JESUS JOSE NOGUEIRA JUNIOR LTDA; 38.635.568/0001-51;AVENIDA SENADOR AREA LEAO;2140;;SAO CRISTOVAO;64051-090;ETANOL;30/03/2026;4,99;;R$ / litro;VIBRA
NE;PI;TERESINA;CACIQUE PETROLEO LTDA; 06.656.656/0033-20;AVENIDA JOAO XXIII;805;;NOIVOS;64045-000;GASOLINA;30/03/2026;6,79;;R$ / litro;SABBÁ
NE;PI;TERESINA;CACIQUE PETROLEO LTDA; 06.656.656/0033-20;AVENIDA JOAO XXIII;805;;NOIVOS;64045-000;GASOLINA ADITIVADA;30/03/2026;7,09;;R$ / litro;SABBÁ
NE;PI;TERESINA;CACIQUE PETROLEO LTDA; 06.656.656/0033-20;AVENIDA JOAO XXIII;805;;NOIVOS;64045-000;DIESEL S10;30/03/2026;7,99;;R$ / litro;SABBÁ
NE;PI;TERESINA;CACIQUE PETROLEO LTDA; 06.656.656/0033-20;AVENIDA JOAO XXIII;805;;NOIVOS;64045-000;ETANOL;30/03/2026;5,49;;R$ / litro;SABBÁ
NE;PI;TERESINA;POSTO HOMERO CASTELO BRANCO LTDA; 08.596.605/0001-07;AVENIDA TOMAZ DE AREA LEAO;2563;;ININGA;64048-600;GASOLINA;08/04/2026;6,79;;R$ / litro;VIBRA
