Regiao - Sigla;Estado - Sigla;Municipio;Revenda;CNPJ da Revenda;Nome da Rua;Numero Rua;Complemento;Bairro;Cep;Produto;Data da Coleta;Valor de Venda;Valor de Compra;Unidade de Medida;Bandeira
NE;PI;TERESINA;SAO FRANCISCO PETROLEO LTDA; 10.336.626/0002-08;AVENIDA PREF WALL FERRAZ;4570;;LOURIVAL PARENTE;64022-145;ETANOL;30/04/2026;4,79;;R$ / litro;BRANCA
NE;PI;TERESINA;PLANALTO PETROLEO KM 7 LTDA; 10.887.489/0001-19;AVENIDA PREFEITO WALL FERRAZ;11133;;SANTO ANTONIO;64032-075;GASOLINA;30/04/2026;6,59;;R$ / litro;BRANCA
NE;PI;TERESINA;PLANALTO PETROLEO KM 7 LTDA; 10.887.489/0001-19;AVENIDA PREFEITO WALL FERRAZ;11133;;SANTO ANTONIO;64032-075;GASOLINA ADITIVADA;30/04/2026;6,99;;R$ / litro;BRANCA
NE;PI;TERESINA;PLANALTO PETROLEO KM 7 LTDA; 10.887.489/0001-19;AVENIDA PREFEITO WALL FERRAZ;11133;;SANTO ANTONIO;64032-075;DIESEL;30/04/2026;6,89;;R$ / litro;BRANCA
NE;PI;TERESINA;PLANALTO PETROLEO KM 7 LTDA; 10.887.489/0001-19;AVENIDA PREFEITO WALL FERRAZ;11133;;SANTO ANTONIO;64032-075;DIESEL S10;30/04/2026;7,19;;R$ / litro;BRANCA
NE;PI;TERESINA;PLANALTO PETROLEO KM 7 LTDA; 10.887.489/0001-19;AVENIDA PREFEITO WALL FERRAZ;11133;;SANTO ANTONIO;64032-075;ETANOL;30/04/2026;4,89;;R$ / litro;BRANCA
NE;PI;TERESINA;JUNCO COMERCIAL LTDA; 02.760.727/0002-83;AVENIDA MARANHAO;900;;CENTRO/N;64000-010;GASOLINA;29/04/2026;6,67;;R$ / litro;VIBRA
NE;PI;TERESINA;JUNCO COMERCIAL LTDA; 02.760.727/0002-83;AVENIDA MARANHAO;900;;CENTRO/N;64000-010;GASOLINA ADITIVADA;29/04/2026;6,99;;R$ / litro;VIBRA
NE;PI;TERESINA;JUNCO COMERCIAL LTDA; 02.760.727/0002-83;AVENIDA MARANHAO;900;;CENTRO/N;64000-010;DIESEL S10;29/04/2026;7,59;;R$ / litro;VIBRA
NE;PI;TERESINA;JUNCO COMERCIAL LTDA; 02.760.727/0002-83;AVENIDA MARANHAO;900;;CENTRO/N;64000-010;ETANOL;29/04/2026;4,99;;R$ / litro;VIBRA
